DHI_SolarCast,DNI_SolarCast,EBH_SolarCast,GHI_SolarCast
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
39,28,5,44
130,387,138,268
180,660,358,538
264,666,481,745
344,634,548,892
428,544,510,938
472,103,99,571
179,0,0,179
301,11,8,309
292,5,4,296
205,0,0,205
57,0,0,57
3,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
39,27,5,44
203,53,15,219
354,59,31,385
485,88,65,550
213,812,715,928
162,966,910,1072
307,718,687,994
464,43,40,504
262,14,10,272
406,30,19,425
243,50,21,264
77,0,0,77
3,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37,76,14,51
102,565,193,295
136,792,434,570
155,889,651,806
162,946,821,983
169,965,911,1081
182,948,906,1088
231,838,755,986
150,917,717,867
306,367,237,543
156,526,204,360
59,295,60,120
4,11,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
46,33,4,50
147,377,125,272
220,532,307,527
133,937,688,821
140,984,856,996
142,1009,954,1096
186,945,904,1090
134,1004,905,1039
125,971,762,887
173,724,460,633
168,469,192,360
61,338,62,123
3,18,2,5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
46,54,6,52
114,519,186,300
113,877,484,597
126,967,711,837
140,1001,873,1013
186,960,908,1095
263,847,811,1074
182,949,856,1038
167,915,720,886
154,825,508,662
123,660,269,392
59,295,62,121
4,9,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37,119,20,56
139,410,136,275
252,481,261,512
474,148,108,581
582,82,71,653
543,361,344,887
602,226,218,820
500,296,271,771
420,148,107,527
267,74,54,321
141,0,0,141
76,23,4,80
3,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
